Date	HomeTeam	AwayTeam	FTHG	FTAG
7/8/2020	Sivasspor	Malatyaspor	0	1
7/8/2020	Trabzonspor	Antalyaspor	2	2
7/8/2020	Alanyaspor	Galatasaray	4	1
7/8/2020	Goztepe	Ankaragucu	2	2
7/9/2020	Rizespor	Kayserispor	3	2
7/9/2020	Besiktas	Kasimpasa	3	2
7/9/2020	Gaziantep	Konyaspor	3	1
7/11/2020	Goztepe	Genclerbirligi	1	3
7/12/2020	Ankaragucu	Galatasaray	1	0
7/12/2020	Antalyaspor	Alanyaspor	1	0
7/12/2020	Fenerbahce	Sivasspor	1	2
7/13/2020	Kasimpasa	Rizespor	2	0
7/13/2020	Kayserispor	Gaziantep	1	1
7/13/2020	Denizlispor	Trabzonspor	2	1
7/13/2020	Konyaspor	Basaksehir	4	3
7/13/2020	Malatyaspor	Besiktas	0	1
7/18/2020	Galatasaray	Goztepe	3	1
7/18/2020	Gaziantep	Kasimpasa	2	2
7/19/2020	Alanyaspor	Denizlispor	1	0
7/19/2020	Ankaragucu	Antalyaspor	0	1
7/19/2020	Besiktas	Fenerbahce	2	0
7/19/2020	Basaksehir	Kayserispor	1	0
7/19/2020	Rizespor	Malatyaspor	3	0
7/19/2020	Sivasspor	Genclerbirligi	2	0
7/19/2020	Trabzonspor	Konyaspor	3	4
7/24/2020	Antalyaspor	Galatasaray	2	2
7/25/2020	Denizlispor	Ankaragucu	0	1
7/25/2020	Fenerbahce	Rizespor	3	1
7/25/2020	Genclerbirligi	Besiktas	0	3
7/25/2020	Goztepe	Sivasspor	3	1
7/25/2020	Kayserispor	Trabzonspor	1	2
7/25/2020	Konyaspor	Alanyaspor	2	3
7/25/2020	Malatyaspor	Gaziantep	0	1
7/26/2020	Kasimpasa	Basaksehir	3	2
